Package,Built
nnet,3.4.3
nycflights13,3.4.0
openssl,3.4.0
packrat,3.4.1
pander,3.4.0
parallel,3.4.3
parsedate,3.4.0
pbkrtest,3.4.0
pillar,3.4.3
pkgconfig,3.4.0
PKI,3.4.0
placeholder,3.4.0
plogr,3.4.0
plotly,3.4.1
plotrix,3.4.1
plotROC,3.4.1
plyr,3.4.0
png,3.4.0
polspline,3.4.0
polyclip,3.4.0
prabclus,3.4.0
praise,3.4.0
prettyunits,3.4.0
printr,3.4.0
pROC,3.4.0
progress,3.4.0
proto,3.4.0
psych,3.4.1
purrr,3.4.2
purrrlyr,3.4.0
quadprog,3.4.0
quantmod,3.4.1
quantreg,3.4.2
R.methodsS3,3.4.0
R.oo,3.4.0
R.utils,3.4.2
R6,3.4.0
randomForest,3.4.0
randomForestSRC,3.4.2
randomUniformForest,3.4.0
RANN,3.4.0
rappdirs,3.4.0
raster,3.4.2
RColorBrewer,3.4.0
Rcpp,3.4.3
RcppArmadillo,3.4.0
RcppEigen,3.4.0
RcppRoll,3.4.0
RCurl,3.4.3
readr,3.4.0
readxl,3.4.0
rematch,3.4.0
rematch2,3.4.1
reprex,3.4.3
reprtree,3.4.2
repurrrsive,3.4.0
reshape,3.4.1
reshape2,3.4.0
rex,3.4.2
rgdal,3.4.3
rgeos,3.4.2
RgoogleMaps,3.4.0
rjson,3.4.0
RJSONIO,3.4.0
rlang,3.4.3
rlist,3.4.0
rmarkdown,3.4.2
rms,3.4.0
RMySQL,3.4.1
ROAuth,3.4.0
robustbase,3.4.0
ROCR,3.4.0
RoogleVision,3.4.2
roxygen2,3.4.0
rpart,3.4.3
rprojroot,3.4.0
rrefine,3.4.0
rsconnect,3.4.1
RSelenium,3.4.0
RSocrata,3.4.1
RSQLite,3.4.1
rstudioapi,3.4.1
rticles,3.4.0
rtweet,3.4.0
rvest,3.4.0
rworldmap,3.4.0
sandwich,3.4.1
scales,3.4.1
SDMTools,3.4.0
searchConsoleR,3.4.0
seasonal,3.4.0
selectr,3.4.0
semver,3.4.0
servr,3.4.2
sf,3.4.2
shiny,3.4.1
slam,3.4.0
SnowballC,3.4.0
sourcetools,3.4.0
sp,3.4.1
spam,3.4.1
sparklyr,3.4.1
SparseM,3.4.0
spatial,3.4.3
spatialEco,3.4.3
SpatialPack,3.4.0
spatstat,3.4.3
spatstat.data,3.4.3
spatstat.utils,3.4.3
spData,3.4.3
spdep,3.4.3
splines,3.4.3
stargazer,3.4.0
stats,3.4.3
stats4,3.4.3
streamR,3.4.0
stringdist,3.4.1
stringi,3.4.0
stringr,3.4.0
styler,3.4.3
subprocess,3.4.0
survival,3.4.3
tcltk,3.4.3
telegram,3.4.1
tensor,3.4.0
testthat,3.4.0
TH.data,3.4.0
tibble,3.4.2
tidyr,3.4.2
tidyselect,3.4.2
tidyverse,3.4.2
tigris,3.4.0
timeDate,3.4.0
tm,3.4.3
tools,3.4.3
topicmodels,3.4.0
tree,3.4.0
trimcluster,3.4.0
tseries,3.4.1
TTR,3.4.1
twitteR,3.4.0
udunits2,3.4.0
units,3.4.1
usethis,3.4.3
utf8,3.4.2
utils,3.4.3
uuid,3.4.0
viridis,3.4.0
viridisLite,3.4.0
wdman,3.4.0
whisker,3.4.0
withr,3.4.3
wordcloud,3.4.0
x13binary,3.4.0
XML,3.4.1
xml2,3.4.0
xtable,3.4.0
xts,3.4.1
yaImpute,3.4.3
yaml,3.4.0
zipcode,3.4.0
zoo,3.4.0
